boxing_v1 pettingzoo
Box(0.0, 1.0, (128,), float32)
Load boxing_v1 environment in type pettingzoo.
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fcc25497b10>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 1122, 'hidden_dim': 64, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 5, 'log_interval': 20, 'render': False, 'test': False, 'load_model_idx': 'None', 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
first_0:                 episode reward: 45.6000,                 loss: 0.0875
second_0:                 episode reward: -45.6000,                 loss: nan
Episode: 921, avg. length 1425.2
first_0:                 episode reward: 30.6000,                 loss: 0.0904
second_0:                 episode reward: -30.6000,                 loss: nan
Episode: 941, avg. length 1218.0
first_0:                 episode reward: 39.2000,                 loss: 0.0530
second_0:                 episode reward: -39.2000,                 loss: nan
Episode: 961, avg. length 1784.0
first_0:                 episode reward: 3.8000,                 loss: 0.1012
second_0:                 episode reward: -3.8000,                 loss: nan
Episode: 981, avg. length 1123.4
first_0:                 episode reward: 59.6000,                 loss: 0.3128
second_0:                 episode reward: -59.6000,                 loss: nan
Episode: 1001, avg. length 1784.0
first_0:                 episode reward: 28.0000,                 loss: 0.0782
second_0:                 episode reward: -28.0000,                 loss: nan
Episode: 1021, avg. length 1428.8
first_0:                 episode reward: 55.4000,                 loss: 0.1395
second_0:                 episode reward: -55.4000,                 loss: nan
Episode: 1041, avg. length 1456.0
first_0:                 episode reward: 55.8000,                 loss: 0.1703
second_0:                 episode reward: -55.8000,                 loss: nan
Episode: 1061, avg. length 1079.0
first_0:                 episode reward: 58.2000,                 loss: 0.1990
second_0:                 episode reward: -58.2000,                 loss: nan
Episode: 1081, avg. length 1329.8
first_0:                 episode reward: 63.8000,                 loss: 0.1496
second_0:                 episode reward: -63.8000,                 loss: nan
Episode: 1101, avg. length 1369.2
first_0:                 episode reward: 38.2000,                 loss: 0.1048
second_0:                 episode reward: -38.2000,                 loss: nan
Episode: 1121, avg. length 1291.6
first_0:                 episode reward: 50.2000,                 loss: 0.3283
second_0:                 episode reward: -50.2000,                 loss: nan
Episode: 1141, avg. length 1399.0
first_0:                 episode reward: 57.6000,                 loss: 0.2961
second_0:                 episode reward: -57.6000,                 loss: nan
Episode: 1161, avg. length 1474.2
first_0:                 episode reward: 59.6000,                 loss: 0.1414
second_0:                 episode reward: -59.6000,                 loss: nan
Episode: 1181, avg. length 1559.4
first_0:                 episode reward: 57.6000,                 loss: 0.1485
second_0:                 episode reward: -57.6000,                 loss: nan
Episode: 1201, avg. length 1242.8
first_0:                 episode reward: 65.4000,                 loss: 0.0764
second_0:                 episode reward: -65.4000,                 loss: nan
Episode: 1221, avg. length 804.8
first_0:                 episode reward: 68.0000,                 loss: 0.2224
second_0:                 episode reward: -68.0000,                 loss: nan
Episode: 1241, avg. length 1039.2
first_0:                 episode reward: 81.0000,                 loss: 0.4278
second_0:                 episode reward: -81.0000,                 loss: nan
Episode: 1261, avg. length 1297.8
first_0:                 episode reward: 58.0000,                 loss: 0.3494
second_0:                 episode reward: -58.0000,                 loss: nan
Episode: 1281, avg. length 1111.4
first_0:                 episode reward: 69.0000,                 loss: 0.5469
second_0:                 episode reward: -69.0000,                 loss: nan
Episode: 1301, avg. length 1074.8
first_0:                 episode reward: 79.0000,                 loss: 0.2162
second_0:                 episode reward: -79.0000,                 loss: nan
Episode: 1321, avg. length 452.2
first_0:                 episode reward: 90.8000,                 loss: 0.3457
second_0:                 episode reward: -90.8000,                 loss: nan
Episode: 1341, avg. length 659.4
first_0:                 episode reward: 74.8000,                 loss: 0.2518
second_0:                 episode reward: -74.8000,                 loss: nan
Episode: 1361, avg. length 421.2
first_0:                 episode reward: 92.4000,                 loss: 0.4658
second_0:                 episode reward: -92.4000,                 loss: nan
Episode: 1381, avg. length 1163.6
first_0:                 episode reward: 61.4000,                 loss: 0.1695
second_0:                 episode reward: -61.4000,                 loss: nan
Episode: 1401, avg. length 1304.4
first_0:                 episode reward: 28.6000,                 loss: 0.5486
second_0:                 episode reward: -28.6000,                 loss: nan
Episode: 1421, avg. length 782.6
first_0:                 episode reward: 84.6000,                 loss: 0.2735
second_0:                 episode reward: -84.6000,                 loss: nan
Episode: 1441, avg. length 503.2
first_0:                 episode reward: 90.8000,                 loss: 0.2903
second_0:                 episode reward: -90.8000,                 loss: nan
Episode: 1461, avg. length 694.6
first_0:                 episode reward: 85.2000,                 loss: 1.1272
second_0:                 episode reward: -85.2000,                 loss: nan
Episode: 1481, avg. length 1045.4
first_0:                 episode reward: 53.6000,                 loss: 0.5281
second_0:                 episode reward: -53.6000,                 loss: nan
Episode: 1501, avg. length 587.8
first_0:                 episode reward: 79.4000,                 loss: 0.3782
second_0:                 episode reward: -79.4000,                 loss: nan
Episode: 1521, avg. length 625.4
first_0:                 episode reward: 87.4000,                 loss: 0.7947
second_0:                 episode reward: -87.4000,                 loss: nan
Episode: 1541, avg. length 1170.8
first_0:                 episode reward: 44.2000,                 loss: 0.8624
second_0:                 episode reward: -44.2000,                 loss: nan
Episode: 1561, avg. length 511.8
first_0:                 episode reward: 90.6000,                 loss: 1.7204
second_0:                 episode reward: -90.6000,                 loss: nan
Episode: 1581, avg. length 299.6
first_0:                 episode reward: 98.6000,                 loss: 0.3929
second_0:                 episode reward: -98.6000,                 loss: nan
Episode: 1601, avg. length 298.0
first_0:                 episode reward: 98.0000,                 loss: 0.6171
second_0:                 episode reward: -98.0000,                 loss: nan
Episode: 1621, avg. length 348.6
