pong_v1 pettingzoo
Load pong_v1 environment in type pettingzoo.
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fb14eeb1c90>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'pong_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 12234, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'hidden_dim': 64, 'batch_size': 64, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'selfplay_score_delta': 20, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1323.0
second_0:                 episode reward: 4.4500,                 loss: nan
Episode: 1121, avg. length 1378.8
first_0:                 episode reward: -1.1000,                 loss: 0.0036
second_0:                 episode reward: 1.1000,                 loss: nan
Episode: 1141, avg. length 1457.7
first_0:                 episode reward: 1.9500,                 loss: 0.0047
second_0:                 episode reward: -1.9500,                 loss: nan
Episode: 1161, avg. length 1331.8
first_0:                 episode reward: 4.5000,                 loss: 0.0079
second_0:                 episode reward: -4.5000,                 loss: nan
Episode: 1181, avg. length 1357.9
first_0:                 episode reward: 2.5500,                 loss: 0.0063
second_0:                 episode reward: -2.5500,                 loss: nan
Episode: 1201, avg. length 1104.75
first_0:                 episode reward: 7.9000,                 loss: 0.0020
second_0:                 episode reward: -7.9000,                 loss: nan
Score delta: 20.1, udpate the opponent.
Episode: 1221, avg. length 1332.95
first_0:                 episode reward: 2.4000,                 loss: 0.0071
second_0:                 episode reward: -2.4000,                 loss: nan
Episode: 1241, avg. length 1430.95
first_0:                 episode reward: -7.2000,                 loss: 0.0104
second_0:                 episode reward: 7.2000,                 loss: nan
Episode: 1261, avg. length 1089.55
first_0:                 episode reward: -6.7500,                 loss: 0.0069
second_0:                 episode reward: 6.7500,                 loss: nan
Episode: 1281, avg. length 1200.2
first_0:                 episode reward: -3.7500,                 loss: 0.0080
second_0:                 episode reward: 3.7500,                 loss: nan
Episode: 1301, avg. length 1072.3
first_0:                 episode reward: 2.3000,                 loss: 0.0041
second_0:                 episode reward: -2.3000,                 loss: nan
Score delta: 20.1, udpate the opponent.
Episode: 1321, avg. length 807.35
first_0:                 episode reward: 17.5500,                 loss: 0.0051
second_0:                 episode reward: -17.5500,                 loss: nan
Score delta: 42.0, udpate the opponent.
Episode: 1341, avg. length 904.25
first_0:                 episode reward: 17.3000,                 loss: 0.0072
second_0:                 episode reward: -17.3000,                 loss: nan
Episode: 1361, avg. length 1006.9
first_0:                 episode reward: 6.8000,                 loss: 0.0045
second_0:                 episode reward: -6.8000,                 loss: nan
Score delta: 20.1, udpate the opponent.
Episode: 1381, avg. length 969.7
first_0:                 episode reward: 6.3500,                 loss: 0.0038
second_0:                 episode reward: -6.3500,                 loss: nan
Episode: 1401, avg. length 1155.9
first_0:                 episode reward: -1.9000,                 loss: 0.0087
second_0:                 episode reward: 1.9000,                 loss: nan
Episode: 1421, avg. length 1173.45
first_0:                 episode reward: 7.3500,                 loss: 0.0078
second_0:                 episode reward: -7.3500,                 loss: nan
Score delta: 21.4, udpate the opponent.
Episode: 1441, avg. length 1125.0
first_0:                 episode reward: 12.4000,                 loss: 0.0114
second_0:                 episode reward: -12.4000,                 loss: nan
Score delta: 24.4, udpate the opponent.
Episode: 1461, avg. length 1203.95
first_0:                 episode reward: 10.5000,                 loss: 0.0066
second_0:                 episode reward: -10.5000,                 loss: nan
Score delta: 23.0, udpate the opponent.
Episode: 1481, avg. length 1048.3
first_0:                 episode reward: 11.2000,                 loss: 0.0048
second_0:                 episode reward: -11.2000,                 loss: nan
Episode: 1501, avg. length 1669.4
first_0:                 episode reward: -4.6500,                 loss: 0.0108
second_0:                 episode reward: 4.6500,                 loss: nan
Episode: 1521, avg. length 1420.7
first_0:                 episode reward: 5.1000,                 loss: 0.0032
second_0:                 episode reward: -5.1000,                 loss: nan
Score delta: 20.3, udpate the opponent.
Episode: 1541, avg. length 728.15
first_0:                 episode reward: 21.0000,                 loss: 0.0074
second_0:                 episode reward: -21.0000,                 loss: nan
Score delta: 42.0, udpate the opponent.
Episode: 1561, avg. length 1075.9
first_0:                 episode reward: 0.6000,                 loss: 0.0051
second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 1581, avg. length 1224.9
first_0:                 episode reward: -7.1000,                 loss: 0.0075
second_0:                 episode reward: 7.1000,                 loss: nan
Episode: 1601, avg. length 1281.4
first_0:                 episode reward: -3.4000,                 loss: 0.0077
second_0:                 episode reward: 3.4000,                 loss: nan
Episode: 1621, avg. length 1212.35
first_0:                 episode reward: -4.0000,                 loss: 0.0062
second_0:                 episode reward: 4.0000,                 loss: nan
Episode: 1641, avg. length 1209.7
first_0:                 episode reward: -2.7500,                 loss: 0.0030
second_0:                 episode reward: 2.7500,                 loss: nan
Episode: 1661, avg. length 1411.8
first_0:                 episode reward: 0.9500,                 loss: 0.0068
second_0:                 episode reward: -0.9500,                 loss: nan
Episode: 1681, avg. length 1203.05
first_0:                 episode reward: 5.0500,                 loss: 0.0096
second_0:                 episode reward: -5.0500,                 loss: nan
Episode: 1701, avg. length 1320.2
first_0:                 episode reward: 1.4000,                 loss: 0.0052
second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 1721, avg. length 1091.45
first_0:                 episode reward: 6.3000,                 loss: 0.0049
second_0:                 episode reward: -6.3000,                 loss: nan
Episode: 1741, avg. length 1376.1
first_0:                 episode reward: 5.0000,                 loss: 0.0064
second_0:                 episode reward: -5.0000,                 loss: nan
Score delta: 20.4, udpate the opponent.
Episode: 1761, avg. length 1164.95
first_0:                 episode reward: 11.4000,                 loss: 0.0077
second_0:                 episode reward: -11.4000,                 loss: nan
Episode: 1781, avg. length 1422.3
first_0:                 episode reward: 8.3500,                 loss: 0.0061
second_0:                 episode reward: -8.3500,                 loss: nan
Score delta: 21.2, udpate the opponent.
Episode: 1801, avg. length 1206.35
first_0:                 episode reward: 13.8500,                 loss: 0.0062
second_0:                 episode reward: -13.8500,                 loss: nan
Score delta: 22.6, udpate the opponent.
Episode: 1821, avg. length 1336.6
first_0:                 episode reward: 10.9500,                 loss: 0.0089
second_0:                 episode reward: -10.9500,                 loss: nan
Score delta: 33.1, udpate the opponent.
Episode: 1841, avg. length 1380.5
first_0:                 episode reward: 13.1000,                 loss: 0.0079
second_0:                 episode reward: -13.1000,                 loss: nan
Episode: 1861, avg. length 1576.0
first_0:                 episode reward: -2.6000,                 loss: 0.0064
second_0:                 episode reward: 2.6000,                 loss: nan
Episode: 1881, avg. length 1787.0
first_0:                 episode reward: 0.8000,                 loss: 0.0060
second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 1901, avg. length 1797.8
first_0:                 episode reward: 3.1500,                 loss: 0.0088
second_0:                 episode reward: -3.1500,                 loss: nan
Episode: 1921, avg. length 1760.2
first_0:                 episode reward: 2.6500,                 loss: 0.0096
second_0:                 episode reward: -2.6500,                 loss: nan
Episode: 1941, avg. length 1639.2
first_0:                 episode reward: 3.6000,                 loss: 0.0058
second_0:                 episode reward: -3.6000,                 loss: nan
Episode: 1961, avg. length 1692.2
first_0:                 episode reward: 4.1500,                 loss: 0.0072
second_0:                 episode reward: -4.1500,                 loss: nan
Score delta: 21.9, udpate the opponent.
Episode: 1981, avg. length 1402.25
first_0:                 episode reward: 11.6000,                 loss: 0.0060
second_0:                 episode reward: -11.6000,                 loss: nan
Episode: 2001, avg. length 2253.95
first_0:                 episode reward: 3.5500,                 loss: 0.0071
second_0:                 episode reward: -3.5500,                 loss: nan
Score delta: 20.5, udpate the opponent.
Episode: 2021, avg. length 1487.8
first_0:                 episode reward: 13.2000,                 loss: 0.0052
second_0:                 episode reward: -13.2000,                 loss: nan
Score delta: 28.3, udpate the opponent.
Episode: 2041, avg. length 1293.1
first_0:                 episode reward: 4.7000,                 loss: 0.0026
second_0:                 episode reward: -4.7000,                 loss: nan
Episode: 2061, avg. length 1875.65
first_0:                 episode reward: -3.3500,                 loss: 0.0044
second_0:                 episode reward: 3.3500,                 loss: nan
Episode: 2081, avg. length 1998.45
first_0:                 episode reward: 1.8000,                 loss: 0.0083
second_0:                 episode reward: -1.8000,                 loss: nan
Episode: 2101, avg. length 2035.8
first_0:                 episode reward: -0.4500,                 loss: 0.0033
second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 2121, avg. length 2103.05
first_0:                 episode reward: 5.6000,                 loss: 0.0088
second_0:                 episode reward: -5.6000,                 loss: nan
Score delta: 20.4, udpate the opponent.
Episode: 2141, avg. length 1910.5
first_0:                 episode reward: 10.3000,                 loss: 0.0073
second_0:                 episode reward: -10.3000,                 loss: nan
Score delta: 28.6, udpate the opponent.
Episode: 2161, avg. length 1804.85
first_0:                 episode reward: 14.3000,                 loss: 0.0031
